역할,연도,기자_중요도,기자_실행,수용자_체감,중요도−체감
정확정보,2021,4.418,3.742,3.403,1.016
정확정보,2023,4.39,3.764,3.293,1.098
정확정보,2025,4.448,3.466,3.464,0.984
다양의견,2021,4.179,3.457,3.31,0.869
다양의견,2023,4.132,3.455,3.334,0.797
다양의견,2025,4.191,3.269,3.465,0.725
해결책,2021,3.812,3.18,3.221,0.592
해결책,2023,3.743,3.218,3.191,0.552
해결책,2025,3.825,2.92,3.332,0.494
의제설정,2021,4.263,3.527,3.404,0.859
의제설정,2023,4.24,3.533,3.272,0.969
의제설정,2025,4.327,3.453,3.456,0.871
정부감시,2021,4.497,3.439,3.205,1.292
정부감시,2023,4.462,3.396,3.045,1.417
정부감시,2025,4.546,3.412,3.201,1.345
기업감시,2021,4.361,3.194,3.248,1.113
기업감시,2023,4.326,3.172,3.105,1.221
기업감시,2025,4.396,2.994,3.244,1.152
약자대변,2021,4.402,3.416,3.204,1.198
약자대변,2023,4.316,3.429,2.961,1.354
약자대변,2025,4.337,3.009,3.108,1.229
